alert_id,asset_type,age_months,last_service_days_ago,fault_code,pressure_psi,temperature_celsius,criticality
ALERT-10000,Air Handling Unit,84,214,FTC-003,200.47697821552296,24.375932664588948,High
ALERT-10001,Chiller,43,13,FTC-006,169.54943222600144,21.364848324747978,High
ALERT-10002,Rooftop Unit,50,443,FTC-001,151.89000361541522,21.553638966072555,High
ALERT-10003,Rooftop Unit,43,672,FTC-006,149.78244898523633,29.402749536945485,High
ALERT-10004,Boiler,18,37,FTC-001,123.63421046856661,21.769531594272024,Medium
ALERT-10005,Boiler,171,299,FTC-004,148.89763933683633,24.1135070232792,Medium
ALERT-10006,Rooftop Unit,80,230,FTC-006,153.67994417081835,18.594105078610085,High
ALERT-10007,Air Handling Unit,50,471,FTC-005,155.59432150905684,23.911193751933222,Medium
ALERT-10008,Rooftop Unit,99,175,FTC-001,115.56803027111621,21.924994716027086,High
ALERT-10009,Rooftop Unit,65,561,FTC-002,143.49673882489896,23.606586578413637,High
ALERT-10010,Boiler,142,228,FTC-004,152.91038727225256,20.531256657650932,Medium
ALERT-10011,Air Handling Unit,28,56,FTC-001,165.76544913061872,19.953020090129563,Medium
ALERT-10012,Boiler,53,266,FTC-005,134.94527239348335,22.996164523576688,Medium
ALERT-10013,Air Handling Unit,44,381,FTC-005,154.63218937426305,20.456157248092595,Medium
ALERT-10014,Boiler,33,641,FTC-005,165.08286126997044,20.95876293825808,Medium
ALERT-10015,Rooftop Unit,93,481,FTC-002,179.686876619274,26.23081776634009,High
ALERT-10016,Air Handling Unit,110,570,FTC-002,150.8724224948839,27.14593676116743,High
ALERT-10017,Rooftop Unit,31,190,FTC-003,143.0799207301364,19.779247370118927,Medium
ALERT-10018,Rooftop Unit,127,610,FTC-001,149.45281638550102,19.104187613111886,High
ALERT-10019,Air Handling Unit,41,207,FTC-001,152.54326896665052,18.188057725659338,High
ALERT-10020,Rooftop Unit,96,76,FTC-005,156.07272103731412,21.846655387629923,Medium
ALERT-10021,Rooftop Unit,96,432,FTC-006,156.59530142202354,25.586676328133713,High
ALERT-10022,Rooftop Unit,34,88,FTC-006,158.13987560082248,19.197613975517967,High
ALERT-10023,Air Handling Unit,93,123,FTC-001,150.81429779660346,22.875742497753198,High
ALERT-10024,Rooftop Unit,104,235,FTC-001,131.160455047751,18.83357341301936,High
ALERT-10025,Rooftop Unit,177,637,FTC-004,136.52808680318842,29.233065554614672,High
ALERT-10026,Rooftop Unit,87,415,FTC-006,143.68547944156253,29.302766946178945,High
ALERT-10027,Air Handling Unit,124,244,FTC-006,133.81550127257617,16.376598739211698,High
ALERT-10028,Air Handling Unit,52,30,FTC-006,129.11970614692262,15.117779610568798,Medium
ALERT-10029,Chiller,71,222,FTC-005,143.01890435646814,23.764612949044206,Medium
ALERT-10030,Chiller,40,344,FTC-006,170.67740732616792,23.51747741192519,High
ALERT-10031,Air Handling Unit,83,282,FTC-004,177.21162500224648,20.029200818464307,Medium
ALERT-10032,Boiler,166,625,FTC-006,171.26718457924375,17.788412167031538,High
ALERT-10033,Boiler,43,642,FTC-005,159.6654256677188,21.771289764255965,Medium
ALERT-10034,Air Handling Unit,145,705,FTC-001,143.24646159233768,22.797464080893512,High
ALERT-10035,Air Handling Unit,166,172,FTC-001,149.652849183231,23.43264994805874,High
ALERT-10036,Air Handling Unit,17,132,FTC-002,136.96788508865345,18.577468110839778,Medium
ALERT-10037,Air Handling Unit,169,705,FTC-006,168.23880911939506,25.87998674345621,High
ALERT-10038,Chiller,161,645,FTC-002,146.8986784526025,20.519530163131265,High
ALERT-10039,Rooftop Unit,143,112,FTC-006,152.18892746527146,29.989331175726317,High
ALERT-10040,Rooftop Unit,139,512,FTC-002,149.6116808716239,24.96342982932981,High
ALERT-10041,Air Handling Unit,136,446,FTC-003,144.31653166465205,19.479704512901808,High
ALERT-10042,Boiler,27,147,FTC-003,157.3671716795406,20.03086784722251,Medium
ALERT-10043,Rooftop Unit,156,705,FTC-002,145.14147848114837,17.46804791167696,High
ALERT-10044,Rooftop Unit,96,275,FTC-003,183.6010254847032,16.016836527777624,High
ALERT-10045,Air Handling Unit,108,239,FTC-003,167.0656510521464,19.289383068518053,High
ALERT-10046,Air Handling Unit,35,493,FTC-001,169.56687965567156,29.031045283816212,High
ALERT-10047,Rooftop Unit,108,97,FTC-005,168.4764880207751,15.258528506223112,Medium
ALERT-10048,Rooftop Unit,51,229,FTC-001,134.95292492402749,22.974611631986154,High
ALERT-10049,Chiller,20,358,FTC-003,182.28209576681195,22.2798825319539,High
ALERT-10050,Chiller,55,298,FTC-006,149.47290091414848,17.771253516492184,High
ALERT-10051,Chiller,137,264,FTC-006,135.9772129015463,22.238324874012953,High
ALERT-10052,Air Handling Unit,42,159,FTC-001,146.48600484265015,27.22463156429189,High
ALERT-10053,Rooftop Unit,164,691,FTC-004,162.20733686299062,22.297846546238723,High
ALERT-10054,Chiller,175,64,FTC-005,136.67945764186373,23.661706837209493,Medium
ALERT-10055,Air Handling Unit,165,592,FTC-003,113.65201726914535,20.511859307625713,High
ALERT-10056,Rooftop Unit,123,449,FTC-006,112.96793542373311,30.61011201427496,High
ALERT-10057,Air Handling Unit,63,374,FTC-006,169.12002957591966,22.563558364408447,High
ALERT-10058,Air Handling Unit,106,127,FTC-005,138.7699202644583,20.207428355449686,Medium
ALERT-10059,Rooftop Unit,161,482,FTC-001,113.41323693770642,24.21307921168399,High
ALERT-10060,Air Handling Unit,89,306,FTC-004,124.68951148675274,25.755675735920658,Medium
